444, 222
510, 234
574, 244
638, 254
700, 279
746, 324
781, 384
814, 441
827, 502
820, 562
791, 617
751, 671
704, 713
645, 737
582, 749
521, 761
458, 771
420, 290
409, 327
407, 365
414, 403
430, 440
431, 583
420, 623
414, 661
420, 698
437, 729
476, 514
508, 516
539, 517
573, 518
605, 471
611, 492
616, 516
611, 537
606, 558
480, 335
465, 366
465, 405
489, 433
504, 401
503, 361
492, 591
471, 621
473, 660
490, 687
510, 662
508, 624
679, 413
676, 457
671, 495
676, 519
671, 542
675, 580
681, 621
725, 580
734, 542
736, 517
735, 491
724, 452
685, 429
684, 493
686, 517
684, 541
686, 606
707, 541
708, 518
706, 493
