484, 294
547, 286
614, 282
689, 294
756, 322
821, 363
888, 405
943, 446
962, 506
947, 580
908, 650
864, 725
813, 795
749, 842
666, 866
581, 877
496, 886
394, 302
365, 320
357, 354
358, 391
377, 427
370, 540
344, 595
344, 657
362, 714
404, 759
472, 476
517, 466
562, 454
608, 443
647, 406
660, 430
671, 461
659, 501
645, 538
487, 336
471, 363
473, 401
495, 434
508, 397
506, 360
493, 583
468, 617
467, 657
488, 693
505, 659
505, 619
731, 370
712, 400
706, 441
711, 472
704, 507
706, 570
725, 640
797, 579
829, 520
834, 481
829, 445
796, 403
736, 384
732, 441
735, 474
730, 510
732, 623
790, 516
796, 479
789, 445
