115, 47
135, 49
153, 52
172, 57
190, 64
208, 74
222, 90
233, 109
236, 130
234, 150
224, 168
210, 182
192, 193
174, 200
154, 205
134, 208
114, 209
96, 59
87, 71
85, 87
89, 102
97, 115
96, 141
88, 154
84, 169
86, 185
95, 198
114, 128
129, 129
144, 129
159, 129
167, 116
169, 123
172, 129
170, 136
167, 142
115, 72
109, 82
109, 96
118, 107
121, 95
122, 82
117, 150
108, 161
108, 174
115, 185
121, 176
121, 163
183, 98
181, 111
179, 122
182, 129
179, 137
181, 146
182, 158
191, 147
196, 138
198, 129
197, 121
191, 111
184, 103
188, 121
189, 129
188, 137
183, 153
185, 137
187, 129
185, 121
