479, 269
542, 269
605, 273
672, 287
737, 306
794, 340
844, 383
883, 438
893, 506
885, 576
850, 630
803, 673
747, 707
685, 733
618, 753
550, 762
480, 767
417, 286
382, 318
376, 367
383, 417
399, 468
395, 550
378, 603
369, 656
377, 709
415, 744
475, 509
518, 510
559, 510
604, 510
644, 447
648, 478
654, 509
647, 541
642, 571
486, 334
465, 363
466, 404
495, 437
506, 401
506, 360
493, 582
463, 618
462, 661
484, 692
504, 663
504, 620
737, 404
722, 444
711, 482
717, 507
711, 534
723, 573
739, 613
767, 573
777, 535
778, 506
776, 477
765, 441
737, 422
736, 480
741, 507
737, 534
739, 595
738, 534
740, 507
738, 480
