454, 324
498, 325
543, 329
590, 338
635, 352
675, 376
709, 406
736, 445
743, 494
737, 542
712, 580
679, 610
640, 633
596, 650
550, 664
503, 671
455, 674
410, 335
385, 358
380, 394
385, 429
397, 465
395, 519
382, 556
375, 594
381, 631
408, 657
449, 494
480, 494
509, 494
540, 495
568, 451
571, 473
574, 494
570, 517
567, 539
458, 372
444, 392
444, 421
464, 444
472, 419
472, 390
462, 545
441, 570
440, 599
455, 622
469, 602
470, 572
635, 422
623, 449
614, 476
619, 493
614, 513
623, 540
634, 568
653, 540
660, 513
662, 493
661, 473
654, 447
635, 434
633, 475
636, 493
633, 513
634, 555
633, 513
635, 493
634, 474
